TRADE NO 	DATETIME 	TYPE 	SYMBOL 	VOLUME 	OPEN PRICE 	CLOSE PRICE 	SWAP 	COMMISSION 	P&L
73894973 	2021-04-23 16:22 	BUY 	AUDNZD 	0.02 	1.07677 	1.07788 	0 	0 	1.32
73895080 	2021-04-23 15:00 	BUY 	CADJPY 	0.02 	86.162 	86.261 	0 	0 	1.52
73898060 	2021-04-23 15:35 	SELL 	EURCHF 	0.02 	1.10492 	1.10421 	0 	0 	1.29
73898101 	2021-04-23 15:40 	BUY 	GBPNZD 	0.02 	1.92999 	1.93111 	0 	0 	1.34
73902347 	2021-04-23 20:15 	SELL 	EURNZD 	0.02 	1.6807 	1.68047 	0 	0 	0.27
73902419 	2021-05-03 09:04 	BUY 	GBPNZD 	0.02 	1.93061 	1.93206 	-1.36 	0 	1.73
73908139 	2021-04-30 15:51 	SELL 	NZDUSD 	0.01 	0.71936 	0.71936 	-0.07 	0 	0
73908143 	2021-04-26 08:41 	BUY 	USDCHF 	0.01 	0.9135 	0.91445 	0.04 	0 	0.86
73908165 	2021-04-26 01:01 	SELL 	EURJPY 	0.02 	130.477 	130.424 	0 	0 	0.81
73908190 	2021-04-26 00:59 	SELL 	CHFJPY 	0.02 	118.138 	118.06 	0.01 	0 	1.19
73920226 	2021-04-26 07:05 	SELL 	AUDUSD 	0.02 	0.77742 	0.77685 	0 	0 	0.94
73920247 	2021-04-26 07:04 	BUY 	USDCAD 	0.02 	1.24549 	1.2465 	0 	0 	1.34
73920262 	2021-04-26 07:32 	BUY 	GBPAUD 	0.02 	1.78851 	1.78955 	0 	0 	1.33
73922893 	2021-04-26 07:59 	SELL 	EURJPY 	0.02 	130.51 	130.411 	0 	0 	1.52
73922909 	2021-04-26 08:11 	SELL 	EURCAD 	0.02 	1.50889 	1.50784 	0 	0 	1.39
73923023 	2021-04-26 07:48 	SELL 	CHFJPY 	0.02 	118.092 	117.996 	0 	0 	1.47
73926458 	2021-04-27 09:51 	SELL 	AUDUSD 	0.02 	0.77758 	0.77722 	-0.05 	0 	0.6
73926547 	2021-04-26 13:10 	SELL 	AUDCAD 	0.02 	0.96902 	0.96872 	0 	0 	0.39
73926589 	2021-05-19 15:09 	SELL 	NZDJPY 	0.02 	77.705 	78.024 	-2.73 	0 	-4.8
73926607 	2021-05-12 20:51 	BUY 	USDCAD 	0.02 	1.24622 	1.213 	0 	0 	-45.37
